id,bucket,subcategory,prompt,target_failure
TN045,Normalization,serial_id,চালান নম্বর INV-2026-017 ঠিক আছে কি?,Serial with hyphen
TN046,Normalization,serial_id,ফাইল কোড A-12/B-7 আলাদা করে রাখো।,Mixed serial code
TN047,Normalization,serial_id,"বাসা ১২/বি, রোড ৭, ব্লক সি।",Address-like structured token
TN048,Normalization,measurement,রক্তচাপ ছিল ১২০/৮০।,Ratio-style measurement
TN049,Normalization,measurement,স্কোরলাইন ৩:২ হলেও খেলা দারুণ ছিল।,Colon numeric ratio
TN050,Normalization,measurement,"দূরত্ব প্রায় ২.৩ কিমি, সময় লাগবে ১৫ মিনিট।",Decimal plus unit
GP001,G2P_Conjunct,conjunct,বিজ্ঞান ক্লাসে আজ নতুন অধ্যায় শুরু হবে।,জ্ঞ conjunct
GP002,G2P_Conjunct,conjunct,প্রজ্ঞার সাথে ধৈর্যও দরকার।,জ্ঞ conjunct in initial cluster
GP003,G2P_Conjunct,conjunct,সংজ্ঞাটা ধীরে আর স্পষ্ট করে পড়ো।,জ্ঞ cluster medial
GP004,G2P_Conjunct,conjunct,অজ্ঞাত কারণেই ফাইলটা বন্ধ ছিল।,জ্ঞ cluster word-initial syllable
GP005,G2P_Conjunct,conjunct,লক্ষ্মীর ভাণ্ডারে প্রদীপ জ্বলছিল।,ক্ষ্ম conjunct
GP006,G2P_Conjunct,conjunct,তীক্ষ্ণ মন্তব্যের পর সবাই চুপ হয়ে গেল।,ক্ষ্ণ conjunct
GP007,G2P_Conjunct,conjunct,রাক্ষসের গল্প শুনে শিশুরা ভয় পেল।,ক্ষ cluster
GP008,G2P_Conjunct,conjunct,ক্ষুদ্র ভুলটাও এখানে গুরুত্বপূর্ণ।,ক্ষ word-initial
GP009,G2P_Conjunct,conjunct,ব্রাহ্মণবাড়িয়া থেকে আজ সকালে ট্রেন এসেছে।,হ্ম conjunct in place name
GP010,G2P_Conjunct,conjunct,ব্রহ্মপুত্রের পানি এবার অনেক বেড়েছে।,হ্ম/ব্রহ্ম cluster
GP011,G2P_Conjunct,conjunct,শ্রদ্ধাভরে শিক্ষককে অভিবাদন জানাও।,শ্র cluster
GP012,G2P_Conjunct,conjunct,শ্রোতারা ধৈর্য ধরে পুরো অনুষ্ঠান শুনলেন।,শ্র initial cluster
GP013,G2P_Conjunct,conjunct,রাষ্ট্রভাষা আন্দোলনের ইতিহাস সবাই জানে।,ষ্ট্র cluster
GP014,G2P_Conjunct,conjunct,কর্তৃপক্ষ দ্রুত সিদ্ধান্ত জানাবে।,র্তৃপক্ষ complex cluster
GP015,G2P_Conjunct,conjunct,দৃষ্টিভঙ্গি বদলালে সমস্যাটা সহজ লাগে।,দৃষ্ট cluster
GP016,G2P_Conjunct,conjunct,অন্তর্দৃষ্টি ছাড়া এই কাজ করা কঠিন।,ন্তর্দৃষ্ট cluster
GP017,G2P_Conjunct,conjunct,সংশ্লিষ্ট নথিগুলো আলাদা ফাইলে রাখো।,সংশ্লি cluster
GP018,G2P_Conjunct,conjunct,উৎসর্গপত্রের শেষ লাইনটা পড়ে শোনাও।,ৎসর্গ cluster
GP019,G2P_Conjunct,conjunct,স্মৃতিগুলো এখনো খুব পরিষ্কার মনে আছে।,স্মৃতি cluster
GP020,G2P_Conjunct,conjunct,স্বপ্নভঙ্গের পরও সে হাল ছাড়েনি।,স্বপ্ন cluster
GP021,G2P_Conjunct,conjunct,স্নিগ্ধ হাওয়ায় সকালটা সুন্দর লাগছিল।,স্নি cluster
GP022,G2P_Conjunct,conjunct,স্ফূর্তি ফিরে এলে কাজও এগোয়।,স্ফূ cluster
GP023,G2P_Conjunct,conjunct,দ্বিধা না করে সিদ্ধান্তটা জানাও।,দ্ব cluster
GP024,G2P_Conjunct,conjunct,দ্বন্দ্ব মিটলে আলোচনা সহজ হবে।,দ্বন্দ্ব cluster
GP025,G2P_Conjunct,conjunct,হ্রদের পাড়ে বিকেলে হাঁটতে ভালো লাগে।,হ্র initial cluster
GP026,G2P_Conjunct,phola,ক্রমশ চাপটা বাড়ছে।,র-ফলা/ক্রমশ
GP027,G2P_Conjunct,phola,ত্রাণ সামগ্রী দুপুরের আগেই পৌঁছেছে।,ত্র cluster
GP028,G2P_Conjunct,phola,গ্রন্থাগারে আজ নতুন বই এসেছে।,গ্র cluster
GP029,G2P_Conjunct,phola,শস্যভাণ্ডার দ্রুত খালি হয়ে যাচ্ছে।,স্য/ণ্ডার cluster
GP030,G2P_Conjunct,phola,ম্লান আলোয় রাস্তা চিনতে কষ্ট হচ্ছিল।,ম্ল initial cluster
GP031,G2P_Conjunct,phola,প্লাবনের পানি এখনো নামেনি।,প্ল initial cluster
GP032,G2P_Conjunct,phola,স্রোতের টানে নৌকাটা সরে গেল।,স্র initial cluster
GP033,G2P_Conjunct,phola,ক্লান্ত চোখে সে চিঠিটা পড়ছিল।,ক্ল initial cluster
GP034,G2P_Conjunct,phola,গ্লানি ভুলে নতুন করে শুরু করো।,গ্ল initial cluster
GP035,G2P_Conjunct,phola,দ্রুত উত্তর না দিলে দেরি হয়ে যাবে।,দ্র initial cluster
GP036,G2P_Conjunct,aspiration,কাল খালার কলার ঝুড়ি খোলা ছিল।,ক/খ contrast
GP037,G2P_Conjunct,aspiration,গরম ঘি দিয়ে ঘন খিচুড়ি বানাও।,গ/ঘ contrast
GP038,G2P_Conjunct,aspiration,ডাল আর ঢেঁড়স দুটোই বাজার থেকে আনো।,ড/ঢ contrast
GP039,G2P_Conjunct,aspiration,তালা খুলে থালা ধুয়ে রাখো।,ত/থ/ধ contrast
GP040,G2P_Conjunct,aspiration,বাবা ভোরে ভাঙা ভেলা মেরামত করলেন।,ব/ভ contrast
GP041,G2P_Conjunct,vowel,"এখন যা করো, পরে যেন কোরো না।",করো/কোরো contrast
GP042,G2P_Conjunct,vowel,"সে করছে না, কিন্তু করে ফেলেছে।",করছে vs করে
GP043,G2P_Conjunct,vowel,পড়ে গিয়ে সে আবার উঠে দাঁড়াল।,ড়ে sequence
GP044,G2P_Conjunct,abbreviation,ডা. রহমান আজ বিকেলে রোগী দেখবেন।,Honorific abbreviation
GP045,G2P_Conjunct,abbreviation,মি. করিম এখন মিটিংয়ে আছেন।,English honorific abbreviation
GP046,G2P_Conjunct,abbreviation,মো. রফিকুল ইসলামের ফর্ম জমা হয়েছে।,Bangla abbreviation মো.
GP047,G2P_Conjunct,abbreviation,নং ১২ কক্ষটা আজ বন্ধ থাকবে।,নং expansion
GP048,G2P_Conjunct,abbreviation,জনাব মো. হাসানকে ভেতরে ডাকুন।,Multiple abbreviations
GP049,G2P_Conjunct,abbreviation,ড. শারমিন আজকের বক্তা।,Doctor abbreviation
GP050,G2P_Conjunct,abbreviation,"রোড নং ৭, বাড়ি নং ১২, ব্লক সি।",Repeated abbreviation expansion
PR001,Prosody,statement_vs_question,তুমি আজ অফিসে যাবে।,Declarative contour
PR002,Prosody,statement_vs_question,তুমি আজ অফিসে যাবে?,Yes/no question contour
PR003,Prosody,statement_vs_question,ওরা এখনই ফিরবে।,Declarative contour
PR004,Prosody,statement_vs_question,ওরা এখনই ফিরবে?,Yes/no question contour
PR005,Prosody,statement_vs_question,তুমি কাজটা শেষ করেছ।,Declarative contour
PR006,Prosody,statement_vs_question,তুমি কাজটা শেষ করেছ?,Yes/no question contour
PR007,Prosody,statement_vs_question,এটাই তোমার শেষ সিদ্ধান্ত।,Declarative contour
PR008,Prosody,statement_vs_question,এটাই তোমার শেষ সিদ্ধান্ত?,Yes/no question contour
PR009,Prosody,statement_vs_question,রিমি আজ আসবে।,Declarative contour
PR010,Prosody,statement_vs_question,রিমি আজ আসবে?,Yes/no question contour
PR011,Prosody,statement_vs_question,তুমি আমাকে ডাকলে।,Declarative contour
PR012,Prosody,statement_vs_question,তুমি আমাকে ডাকলে?,Yes/no question contour
PR013,Prosody,statement_vs_question,সে টাকা জমা দিয়েছে।,Declarative contour
PR014,Prosody,statement_vs_question,সে টাকা জমা দিয়েছে?,Yes/no question contour
PR015,Prosody,tag_question,তুমি কাল আসবে না।,Negative statement contour
PR016,Prosody,tag_question,"তুমি কাল আসবে, না?",Tag question contour
PR017,Prosody,alternative_question,ওটা লাল না নীল।,Plain alternative statement
PR018,Prosody,alternative_question,"ওটা লাল, না নীল?",Alternative question contour
PR019,Prosody,tag_question,আজকের রিপোর্ট তৈরি হয়েছে।,Declarative contour
PR020,Prosody,tag_question,"আজকের রিপোর্ট তৈরি হয়েছে, তাই তো?",Confirmation-seeking contour
PR021,Prosody,exclamation,এখনই দরজা খোলো।,Command neutral
PR022,Prosody,exclamation,এখনই দরজা খোলো!,Command emphatic
PR023,Prosody,exclamation,কি সুন্দর সকাল।,Flat statement
PR024,Prosody,exclamation,কি সুন্দর সকাল!,Exclamatory contour
PR025,Prosody,exclamation,তাড়াতাড়ি নেমে এসো।,Request neutral
PR026,Prosody,exclamation,তাড়াতাড়ি নেমে এসো!,Urgent imperative
PR027,Prosody,exclamation,আজ আমরা জিতেছি।,Statement neutral
PR028,Prosody,exclamation,আজ আমরা জিতেছি!,Excited exclamation
PR029,Prosody,exclamation,তুমি সত্যিই দারুণ করেছ।,Praise neutral
PR030,Prosody,exclamation,তুমি সত্যিই দারুণ করেছ!,Praise emphatic
PR031,Prosody,vocative,"শিলা, তুমি আগে বলো।",Vocative comma
PR032,Prosody,vocative,শিলা তুমি আগে বলো।,No comma vocative
PR033,Prosody,list,"আমি চা, কফি, আর পানি আনলাম।",Listed items with commas
PR034,Prosody,list,আমি চা কফি আর পানি আনলাম।,List without commas
PR035,Prosody,clause_boundary,"তুমি এলে, ভালো লাগবে।",Clause boundary with comma
PR036,Prosody,clause_boundary,তুমি এলে ভালো লাগবে।,Clause boundary without comma
PR037,Prosody,clause_boundary,"ও যদি আসে, আমরা শুরু করব।",Conditional clause boundary
PR038,Prosody,clause_boundary,ও যদি আসে আমরা শুরু করব।,Conditional without comma
PR039,Prosody,contrastive_pause,"এই বইটা নয়, ওই বইটা দাও।",Contrastive pause
PR040,Prosody,contrastive_pause,এই বইটা নয় ওই বইটা দাও।,Contrastive without comma
PR041,Prosody,quotation,"সে বলল, “আমি আজই ফিরব।”",Quoted speech with comma
PR042,Prosody,quotation,সে বলল “আমি আজই ফিরব”।,Quoted speech without comma
PR043,Prosody,hesitation,আমি ভাবছিলাম... আজই যাই।,Hesitation ellipsis
PR044,Prosody,hesitation,"আমি ভাবছিলাম, আজই যাই।",Simple clause pause
PR045,Prosody,choice_grouping,"আজ, না কাল, সিদ্ধান্ত নাও।",Grouped alternatives
PR046,Prosody,choice_grouping,আজ না কাল সিদ্ধান্ত নাও।,Ungrouped alternatives
PR047,Prosody,dash,এই কাজটা তুমি করবে—আমি না।,Dash for contrastive focus
PR048,Prosody,dash,"এই কাজটা তুমি করবে, আমি না।",Comma for contrastive focus
PR049,Prosody,parenthetical,রাহাত (আমার ভাই) আজ আসবে।,Parenthetical insertion
PR050,Prosody,parenthetical,"রাহাত, আমার ভাই, আজ আসবে।",Appositive commas
NE001,NamedEntity_Structured,bangla_entity,আজ আমরা কক্সবাজার থেকে সেন্ট মার্টিনে যাব।,Bangla place names
NE002,NamedEntity_Structured,bangla_entity,শাহজালাল আন্তর্জাতিক বিমানবন্দর থেকে ফ্লাইট ছাড়বে।,Long institutional name
NE003,NamedEntity_Structured,bangla_entity,ময়মনসিংহ মেডিকেল কলেজে ভর্তি পরীক্ষা হবে।,Complex Bangla institution name
NE004,NamedEntity_Structured,bangla_entity,নওগাঁর নিয়ামতপুরে নতুন প্রকল্প শুরু হয়েছে।,Less-common Bangla place name
NE005,NamedEntity_Structured,bangla_entity,সৈয়দ ওয়ালীউল্লাহর গল্পটা আবার পড়ো।,Proper name with uncommon phonotactics
NE006,NamedEntity_Structured,bangla_entity,ড. মুহম্মদ শহীদুল্লাহর বক্তৃতা আজ পড়েছি।,Scholarly proper name
NE007,NamedEntity_Structured,bangla_entity,কিশোরগঞ্জের ইটনায় এবার পানি বেড়েছে।,Regional place names
NE008,NamedEntity_Structured,bangla_entity,চাঁদপুরের হাজীগঞ্জে মেলা বসেছে।,Nasalized/aspirated names
NE009,NamedEntity_Structured,bangla_entity,সুনামগঞ্জের তাহিরপুর খুব সুন্দর জায়গা।,Compound place name
NE010,NamedEntity_Structured,bangla_entity,বরিশালের উজিরপুরে আজ বৃষ্টি হয়েছে।,Bangla proper noun sequence
NE011,NamedEntity_Structured,foreign_translit,ক্রিস্টোফার নোলানের নতুন ছবিটা দেখেছ?,Foreign person in Bangla script
NE012,NamedEntity_Structured,foreign_translit,ইস্তাম্বুল থেকে দোহা হয়ে ঢাকা ফিরব।,Foreign city names in Bangla script
NE013,NamedEntity_Structured,foreign_translit,বার্সেলোনা আর সেভিয়া আজ ম্যাচ খেলবে।,Foreign team/city names
NE014,NamedEntity_Structured,foreign_translit,ফিওদর দস্তয়েভস্কির উপন্যাসটা কঠিন লাগে।,Foreign literary name
NE015,NamedEntity_Structured,foreign_translit,ম্যাক্স প্ল্যাঙ্ক ইনস্টিটিউটের গবেষণাটা পড়েছি।,Foreign institute transliteration
NE016,NamedEntity_Structured,foreign_translit,আন্তোনিও গুতেরেসের বক্তব্য সবাই শুনেছে।,Foreign person name
NE017,NamedEntity_Structured,foreign_translit,লিওনার্দো দা ভিঞ্চির কাজ নিয়ে আলোচনা হলো।,Multiword foreign name
NE018,NamedEntity_Structured,foreign_translit,রেইকিয়াভিকের আবহাওয়া নাকি খুব ঠান্ডা।,Rare foreign place name
NE019,NamedEntity_Structured,foreign_translit,কুয়ালালামপুর হয়ে সিঙ্গাপুর যাওয়ার পরিকল্পনা আছে।,Sequential foreign places
NE020,NamedEntity_Structured,foreign_translit,জোহানেসবার্গ থেকে কেপ টাউন যাওয়ার ফ্লাইট ধরো।,Foreign city pair
NE021,NamedEntity_Structured,acronym_entity,WHO-এর নতুন নির্দেশনা আজ এসেছে।,Uppercase acronym with suffix
NE022,NamedEntity_Structured,acronym_entity,UNDP Bangladesh-এর প্রতিনিধি বিকেলে আসবেন।,Acronym plus English word
NE023,NamedEntity_Structured,acronym_entity,BSEC-এর বিজ্ঞপ্তি এখনো প্রকাশ হয়নি।,Financial acronym
NE024,NamedEntity_Structured,acronym_entity,NASA-এর ছবিগুলো সত্যিই দারুণ।,Uppercase acronym
NE025,NamedEntity_Structured,acronym_entity,"ICDDR,B-এ নতুন গবেষণা চলছে।",Punctuation inside acronym
NE026,NamedEntity_Structured,acronym_entity,"BUET, DU, আর SUST-এর শিক্ষার্থীরা অংশ নেবে।",Multiple acronyms with commas
NE027,NamedEntity_Structured,acronym_entity,BRTC বাসটা আজ দেরি করেছে।,Acronym + Bangla noun
NE028,NamedEntity_Structured,acronym_entity,DBBL অ্যাপটা আজ কাজ করছে না।,Acronym + Bangla translit
NE029,NamedEntity_Structured,acronym_entity,BRTA অফিসে গিয়ে লাইসেন্সের কাগজ জমা দাও।,Acronym + office
NE030,NamedEntity_Structured,acronym_entity,BTV আর NTV দুটোতেই খবর দেখানো হয়েছে।,Parallel acronyms
NE031,NamedEntity_Structured,email_url,আমার ইমেইল user.name@example.com।,Email address
NE032,NamedEntity_Structured,email_url,ওয়েবসাইটটা হলো www.example.com/blog/tts।,Web URL
NE033,NamedEntity_Structured,email_url,ডকুমেন্টটা https://example.com/Report-2026.pdf লিংকে আছে।,Full URL with mixed case
NE034,NamedEntity_Structured,email_url,আমাকে @user_handle-এ মেসেজ দিও।,Handle with @
NE035,NamedEntity_Structured,email_url,ফোল্ডারটা D:\Audio\Bangla\Final-এ আছে।,Windows path
NE036,NamedEntity_Structured,email_url,"সার্ভার আইপি 192.168.1.17, এটা নোট করো।",IP address
NE037,NamedEntity_Structured,email_url,"লোকেশন কোঅর্ডিনেট 23.8103, 90.4125।",GPS coordinates
NE038,NamedEntity_Structured,email_url,"পাসওয়ার্ডটি Rahim@1234 নয়, Karim#2026।",Password-like tokens
NE039,NamedEntity_Structured,email_url,ট্র্যাকিং লিংকটা bit.ly/tts-demo এ আছে।,Short URL
NE040,NamedEntity_Structured,email_url,রুম কোড ZM-408-B আমাকে পাঠাও।,Code-like token
NE041,NamedEntity_Structured,address_id,"বাসা ১২/বি, রোড ৭/এ, ধানমন্ডি, ঢাকা।",Structured address
NE042,NamedEntity_Structured,address_id,ফ্লাইট BG-148 ঢাকা থেকে সিলেট যাবে।,Flight code
NE043,NamedEntity_Structured,address_id,ট্রেন সুবর্ণ এক্সপ্রেস ৭০২ নম্বর প্ল্যাটফর্মে আসবে।,Train + number
NE044,NamedEntity_Structured,address_id,জাতীয় পরিচয়পত্র নম্বর ১৯৮৭৬৫৪৩২১০ লিখে দাও।,Long ID number
NE045,NamedEntity_Structured,address_id,MRP পাসপোর্ট নম্বর A01234567 যাচাই করো।,Passport-like mixed token
NE046,NamedEntity_Structured,address_id,মেডিসিনটা হলো Napa Extend 665 mg।,Brand + dosage
NE047,NamedEntity_Structured,address_id,প্রোডাক্ট কোড XR-12 Pro কাল বাজারে আসছে।,Product code + word
NE048,NamedEntity_Structured,address_id,রাউটার মডেল Archer C6 ঠিকমতো চলছে।,Model name
NE049,NamedEntity_Structured,address_id,চ্যানেল 24 আর ATN News দুটোই দেখেছি।,Mixed numeric media name
NE050,NamedEntity_Structured,address_id,ফাইলের নাম Final_Version_v2.3.docx বদলাও।,Filename token
LF001,LongForm_Task,workflow,"আগামীকাল সকাল ১০:৩০-এ BRAC University-এর সেমিনারে যাওয়ার আগে presentationটা PDF করে email-এ পাঠিয়ে দিও, না হলে registration ডেস্কে সমস্যা হবে।","Long workflow with code-mix, time, entity"
LF002,LongForm_Task,workflow,"তুমি অফিসে পৌঁছে প্রথমে attendance দেবে, তারপর meeting room-এ গিয়ে projector, mic, আর backup laptop ঠিক আছে কি না দেখে নিও।",Instruction chain with code-mix
LF003,LongForm_Task,workflow,"আজকের shipment-এর invoice নম্বর INV-2026-017, এটা finance team-কে forward করে vendor payment release করতে বলো।",Serial code plus code-mix
LF004,LongForm_Task,workflow,"ডাক্তার বলেছেন, Napa Extend 665 mg দুপুর ২টায় খেতে হবে, কিন্তু খাওয়ার আগে ৩০ মিনিট কিছু খাওয়া যাবে না।",Medicine brand + dosage
LF005,LongForm_Task,workflow,"আমার নতুন ঠিকানা বাসা ১২/বি, রোড ৭/এ, ধানমন্ডি, ঢাকা; ভুলে পুরোনো বাসায় কুরিয়ার পাঠিও না।",Address with punctuation
LF006,LongForm_Task,workflow,"ও বলল, “আজই reportটা submit করো”, কিন্তু আমি ভাবছিলাম, data validation শেষ না হলে final version পাঠানো ঠিক হবে না।",Quote + code-mix + clause prosody
